,1,2,3,4,5,6,7,8,9,10,11
349,19971104,0.0276095,2,1.15314,0.240623,0.227326,0,0,0,0.128183,"0.134144
"
350,19971105,0,0,0,0.164449,0.164449,0,0,0,0.158253,"0.158253
"
351,19971106,0,0,0,0.107889,0.0881976,0,0,0,0.112414,"0.112414
"
352,19971107,0.298814,6,0.159498,0.295259,0.278584,0.230194,3,0.316426,0.240749,"0.25817
"
353,19971110,0.182629,2,0.613449,0.45679,0.281957,0.160753,2,0.853616,0.429295,"0.438135
"
354,19971111,0.0659577,6,0.178864,0.279043,0.196822,0,0,0,0.132236,"0.162061
"
355,19971112,0,0,0,0.140509,0.140509,0.188392,6,0.153079,0.189829,"0.153794
"
356,19971113,0.0208557,6,0.664714,0.213479,0.159105,0.155049,4,0.197707,0.263743,"0.247276
"
357,19971114,0.0188219,4,1.0413,0.276049,0.264242,0.0828424,0,0.0985707,0.125655,"0.119202
"
358,19971117,0.13523,3,0.196044,0.374616,0.387702,0.0745397,3,0.48876,0.26146,"0.242103
"
359,19971118,0.0394973,5,1.03385,0.224812,0.185268,0.128608,0,0.204975,0.185286,"0.213952
"
360,19971119,0,0,0,0.209236,0.236244,0,0,0,0.152311,"0.152311
"
361,19971120,0.163613,4,0.443262,0.230921,0.223484,0.0282521,4,3.05478,0.192335,"0.209077
"
362,19971121,0,0,0,0.106661,0,0,0,0,0.0783986,"0.0995842
"
363,19971124,0,0,0,0.160829,0.160829,0.123099,2,0.124729,0.20183,"0.175483
"
364,19971125,0,0,0,0.383989,0.409112,0,0,0,0.18537,"0.18537
"
365,19971126,0,0,0,0.161269,0.171678,0,0,0,0.152607,"0.163544
"
366,19971201,0,0,0,0.121128,0.108441,0,0,0,0.178407,"0.174207
"
367,19971202,0,0,0,0.188789,0.133364,0,0,0,0.132129,"0.132129
"
368,19971203,0.144738,5,0.153205,0.273131,0.273091,0.130998,5,0.116713,0.122981,"0.1092
"
369,19971204,0,0,0,0.155802,0.14637,0,0,0,0.120903,"0.120903
"
370,19971205,0,0,0,0.110471,0.110504,0,0,0,0.0936778,"0.101507
"
371,19971208,0.127046,6,0.0705133,0.215688,0.152537,0,0,0,0.119004,"0.130709
"
372,19971209,0,0,0,0.296857,0.264293,0.215039,3,0.191941,1.03216,"1.01998
"
373,19971210,0,0,0,0.253278,0.253278,0,0,0,0.286764,"0.286764
"
374,19971211,0,0,0,0.242101,0.242101,0.137178,4,0.65306,0.230409,"0.2268
"
375,19971215,0,0,0,0.155462,0.144669,0,0,0,0.0983536,"0.0941415
"
376,19971216,0,0,0,0.274132,0.29062,0.327887,1,0.167596,0.24196,"0.275589
"
377,19971217,0,0,0,0.127835,0.127835,0,0,0,0.175239,"0.15495
"
378,19971218,0.661428,6,0.300588,0.40861,0.360716,0.433623,0,0.544998,0.261899,"0.30856
"
379,19971219,0.274414,4,0.837754,0.496456,0.53599,0.331452,0,1.3669,0.453961,"0.546041
"
380,19971222,0.240924,5,0.233982,0.305801,0.38076,0.02583,6,7.68505,0.281875,"0.349014
"
381,19971223,0,0,0,0.231734,0.231734,0,0,0,0.180679,"0.178443
"
382,19971224,0,0,0,0.531896,0.405896,0,0,0,0.387688,"0.326269
"
383,19971226,0,0,0,0.17195,0.190142,0,0,0,0.124668,"0.124668
"
384,19971229,0.619298,6,0.367166,0.374523,0.384046,0.414205,3,0.398856,0.300678,"0.304296
"
385,19971230,0.5304,4,0.14031,0.424603,0.485187,0.249766,4,0.266212,0.358929,"0.344615
"
386,19971231,0.103054,3,0.439262,0.334414,0.24264,0.192074,1,0.310064,0.279105,"0.309934
"
387,19980102,0.348769,0,0.345213,0.350293,0.281768,0.179741,6,0.484856,0.26575,"0.292174
"
388,19980105,0.835708,3,0.274682,0.616338,0.505401,0.719502,2,0.348348,0.575398,"0.544968
"
389,19980106,0.327336,1,0.241271,0.315681,0.309891,0.271837,6,0.14452,0.19202,"0.19185
"
390,19980107,0.453669,4,0.326277,0.45574,0.405019,0.404819,4,0.229482,0.32869,"0.357099
"
391,19980108,0.00273841,5,458.224,0.414578,0.428912,0.00658372,6,128.124,0.370148,"0.34165
"
392,19980109,0.275163,5,0.201909,0.380701,0.419728,0.232405,3,0.26174,0.234163,"0.218678
"
393,19980112,0.0114935,5,2.8851,0.376545,0.366067,0,0,0,0.163625,"0.163625
"
394,19980113,0,0,0,0.148031,0.148031,0,0,0,0.0493739,"0.0493739
"
395,19980114,0,0,0,0.324208,0.342866,0.0828706,3,0.22325,0.12014,"0.12014
"
396,19980115,0,0,0,0.165379,0.137742,0,0,0,0.141707,"0.141707
"
397,19980116,0.078821,4,1.52844,0.481647,0.328615,0,0,0,0.171538,"0.14685
"
398,19980120,0.0296329,6,18.0469,0.451566,0.528957,0.224775,3,0.421771,0.288739,"0.354283
"
399,19980121,1.33967,6,0.413242,0.850812,1.02751,0.974134,2,0.695409,0.879781,"1.03071
"
400,19980122,0.753542,6,0.0694292,0.406645,0.469124,0.589063,5,0.0672568,0.378756,"0.396254
"
401,19980123,0.0977255,6,0.794047,0.279949,0.314204,0,0,0,0.181892,"0.214204
"
402,19980126,0.240137,1,0.154335,0.331661,0.291632,0.310964,0,0.145048,0.29212,"0.311899
"
403,19980127,0.286552,4,0.34715,0.450216,0.280159,0.389481,2,0.177191,0.318261,"0.267313
"
404,19980128,0.168695,8,0.232655,0.213829,0.213829,0,0,0,0.2209,"0.189519
"
405,19980129,0.277559,2,0.149416,0.219312,0.212256,0,0,0,0.156381,"0.197897
"
406,19980130,0.139019,5,0.343561,0.208635,0.165629,0,0,0,0.1581,"0.155526
"
407,19980202,0.169838,0,0.104635,0.281387,0.210203,0.156544,4,0.255538,0.2533,"0.204882
"
408,19980203,0.243713,0,0.111537,0.32378,0.260177,0.246299,0,0.163029,0.226699,"0.221711
"
409,19980204,0.194201,6,0.183147,0.22773,0.221054,0.265262,0,0.167931,0.249291,"0.267212
"
410,19980205,0.613236,3,0.266507,0.385169,0.44475,0.605624,2,0.294187,0.436302,"0.426428
"
411,19980206,0.0671885,4,0.720976,0.204921,0.211259,0.0183492,7,1.86974,0.178624,"0.171132
"
412,19980209,0.055714,5,0.276217,0.177357,0.114704,0.0521869,5,0.31949,0.122696,"0.122819
"
413,19980210,0.118827,3,0.0449885,0.198712,0.217733,0.0239224,5,1.1284,0.196913,"0.206734
"
414,19980211,0,0,0,0.0898899,0.0898899,0,0,0,0.0531236,"0.0531236
"
415,19980212,0,0,0,0.215186,0.215186,0,0,0,0.102273,"0.0779478
"
